"Muni,County",District,Senate,Senate_main_office,Senate_phone,Senate_email,Assembly_1,Assembly_office_1,Assembly_phone_1,Assembly_email_1,Assembly_2,Assembly_office_2,Assembly_phone_2,Assembly_email_2
Mantoloking,10,JIM HOLZAPFEL (R),"852 Highway 70, Brick, NJ 08724",732-840-9028,SenHolzapfel@njleg.org,DAVID W. WOLFE (R),"852 Hwy. 70, Brick, NJ 08724",732-840-9028,AsmWolfe@njleg.org,GREGORY P. MCGUCKIN (R),"852 Hwy. 70, Brick, NJ 08724",732-840-9028,AsmMcGuckin@njleg.org
Mantua,5,NILSA CRUZ-PEREZ (D),"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY (D),"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES (D),"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Manville,16,"CHRISTOPHER ""KIP"" BATEMAN (R)","36 East Main St., Somerville, NJ 08876",908-526-3600,SenBateman@njleg.org,JACK M. CIATTARELLI (R),"50 Division St., Suite 200, Somerville, NJ 08876",908-450-7064,AsmCiattarelli@njleg.org,ANDREW ZWICKER (D),"23 Orchard Road, Suite 170, Skillman, NJ 08558",609-454-3147,AsmZwicker@njleg.org
Maple Shade,6,JAMES BEACH (D),"1309 Route 70 West, Cherry Hill, NJ 08002",856-429-1572,SenBeach@njleg.org,LOUIS D. GREENWALD (D),"1101 Laurel Oak Ave., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmGreenwald@njleg.org,PAMELA R. LAMPITT (D),"1101 Laurel Oak Rd., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmLampitt@njleg.org
Maplewood,27,RICHARD J. CODEY (D),"66 W. Mount Pleasant Ave., Livingston, NJ 07039",973-535-5017,SenCodey@njleg.org,MILA M. JASEY (D),"511 Valley St., Maplewood, NJ 07040",973-762-1886,AsmJasey@njleg.org,JOHN F. MCKEON (D),"250 Main St., Madison, NJ 07940",973-377-1606,AsmMcKeon@njleg.org
Margate City,2,JIM WHELAN (D),"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN (R),"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO (D),"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
Marlboro,13,"JOSEPH M. KYRILLOS, JR. (R)","10 Hwy. 35, 2nd Floor, Red Bank, NJ 07701",732-671-3206,SenKyrillos@njleg.org,AMY H. HANDLIN (R),"225 Route 35, Suite 202, Red Bank, NJ 07701",732-383-7820,AsmHandlin@njleg.org,DECLAN O'SCANLON (R),"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,AsmOScanlon@njleg.org
Matawan,12,SAMUEL D. THOMPSON (R),"2501 Highway 516, Suite 101, Old Bridge, NJ 08857",732-607-7580,SenThompson@njleg.org,RONALD S. DANCER (R),"2110 W. County Line Rd., Jackson, NJ 08527",732-901-0702,AsmDancer@njleg.org,ROBERT D. CLIFTON (R),"516 Route 33 West, Bldg. 2, Suite 2, Millstone, NJ 08535",732-446-3408,AsmClifton@njleg.org
Maurice River,1,JEFF VAN DREW (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Maywood,38,ROBERT M. GORDON (D),"14-25 Plaza Rd., P.O. Box 398, Fair Lawn, NJ 07410",201-703-9779,SenGordon@njleg.org,TIMOTHY J. EUSTACE (D),"205 Robin Rd., Suite 216, Paramus, NJ 07652",201-576-9199,AsmEustace@njleg.org,JOSEPH A. LAGANA (D),"205 Robin Rd., Suite 222, Paramus, NJ 07652",201-576-9199,AsmLagana@njleg.org
Medford,8,DAWN MARIE ADDIEGO (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,SenAddiego@njleg.org,JOSEPH HOWARTH (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmHowarth@njleg.org,MARIA RODRIGUEZ-GREGG (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmRodriguezGregg@njleg.org
Medford Lakes,8,DAWN MARIE ADDIEGO (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,SenAddiego@njleg.org,JOSEPH HOWARTH (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmHowarth@njleg.org,MARIA RODRIGUEZ-GREGG (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmRodriguezGregg@njleg.org
Mendham Borough,25,ANTHONY R. BUCCO (R),"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL (R),"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO (R),"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Mendham Township,25,ANTHONY R. BUCCO (R),"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL (R),"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO (R),"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Merchantville,6,JAMES BEACH (D),"1309 Route 70 West, Cherry Hill, NJ 08002",856-429-1572,SenBeach@njleg.org,LOUIS D. GREENWALD (D),"1101 Laurel Oak Ave., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmGreenwald@njleg.org,PAMELA R. LAMPITT (D),"1101 Laurel Oak Rd., Suite 150, Voorhees, NJ 08043",856-435-1247,AsmLampitt@njleg.org
Metuchen,18,"PATRICK J. DIEGNAN, JR. (D)","908 Oak Tree Ave., Unit P, South Plainfield, NJ 07080",908-757-1677,SenDiegnan@njleg.org,NANCY J. PINKIN (D),"3 Stephenville Pkwy., Suite 2E, Edison, NJ 08820",732-548-1406,AsmPinkin@njleg.org,ROBERT J. KARABINCHAK (D),"3 Stephenville Pkwy., Suite 2D, Edison, NJ 08820",732-548-1406,AsmKarabinchak@njleg.org
Middle,1,JEFF VAN DREW (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Middlesex,22,NICHOLAS P. SCUTARI (D),"1514 E. Saint Georges Ave., 2nd Floor, Linden, NJ 07036",908-587-0404,SenScutari@njleg.org,JERRY GREEN (D),"200 West 2nd Street, Suite 102, Plainfield, NJ 07060",908-561-5757,AsmGreen@njleg.org,JAMES J. KENNEDY (D),"34 E. Cherry St., Rahway, NJ 07065",732-943-2660,AsmKennedy@njleg.org
Middletown,13,"JOSEPH M. KYRILLOS, JR. (R)","10 Hwy. 35, 2nd Floor, Red Bank, NJ 07701",732-671-3206,SenKyrillos@njleg.org,AMY H. HANDLIN (R),"225 Route 35, Suite 202, Red Bank, NJ 07701",732-383-7820,AsmHandlin@njleg.org,DECLAN O'SCANLON (R),"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,AsmOScanlon@njleg.org
Midland Park,40,KEVIN J. O'TOOLE (R),"155 Route 46 West, Suite 108, Wayne, NJ 07470",973-237-1360,SenOToole@njleg.org,SCOTT T. RUMANA (R),"155 Route 46 West, 1st Floor, Wayne, NJ 07470",973-237-1362,AsmRumana@njleg.org,DAVID C. RUSSO (R),"22 Paterson Ave., Midland Park, NJ 07432",201-444-9719,AsmRusso@njleg.org
Milford,23,MICHAEL J. DOHERTY (R),"127 Belvidere Ave., 2nd Floor, Washington, NJ 07882",908-835-0552,SenDoherty@njleg.org,ERIK PETERSON (R),"178 Center Street, Suite 2B, Clinton NJ 08809",908-238-0251,AsmPeterson@njleg.org,JOHN DIMAIO (R),"245 Route 22, Suite 208, Bridgewater, NJ 08807",908-722-1365,AsmDimaio@njleg.org
Millburn,27,RICHARD J. CODEY (D),"66 W. Mount Pleasant Ave., Livingston, NJ 07039",973-535-5017,SenCodey@njleg.org,MILA M. JASEY (D),"511 Valley St., Maplewood, NJ 07040",973-762-1886,AsmJasey@njleg.org,JOHN F. MCKEON (D),"250 Main St., Madison, NJ 07940",973-377-1606,AsmMcKeon@njleg.org
"Millstone, Monmouth County",12,SAMUEL D. THOMPSON (R),"2501 Highway 516, Suite 101, Old Bridge, NJ 08857",732-607-7580,SenThompson@njleg.org,RONALD S. DANCER (R),"2110 W. County Line Rd., Jackson, NJ 08527",732-901-0702,AsmDancer@njleg.org,ROBERT D. CLIFTON (R),"516 Route 33 West, Bldg. 2, Suite 2, Millstone, NJ 08535",732-446-3408,AsmClifton@njleg.org
"Millstone, Somerset County",16,"CHRISTOPHER ""KIP"" BATEMAN (R)","36 East Main St., Somerville, NJ 08876",908-526-3600,SenBateman@njleg.org,JACK M. CIATTARELLI (R),"50 Division St., Suite 200, Somerville, NJ 08876",908-450-7064,AsmCiattarelli@njleg.org,ANDREW ZWICKER (D),"23 Orchard Road, Suite 170, Skillman, NJ 08558",609-454-3147,AsmZwicker@njleg.org
Milltown,17,BOB SMITH (D),"216 Stelton Rd., Suite E-5, Piscataway, NJ 08854",732-752-0770,SenBSmith@njleg.org,JOSEPH V. EGAN (D),"100 Bayard St., New Brunswick, NJ 08901",732-249-4550,AsmEgan@njleg.org,JOE DANIELSEN (D),"334 Elizabeth Ave., Somerset, NJ 08873",732-247-3999,AsmDanielsen@njleg.org
Millville,1,JEFF VAN DREW (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,SenVanDrew@njleg.org,BOB ANDRZEJCZAK (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmAndrzejczak@njleg.org,R. BRUCE LAND (D),"School House Office Park, 211 S. Main St., Suite 104, Cape May Court House, NJ 08210",609-465-0700,AsmLand@njleg.org
Mine Hill,25,ANTHONY R. BUCCO (R),"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL (R),"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO (R),"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Monmouth Beach,13,"JOSEPH M. KYRILLOS, JR. (R)","10 Hwy. 35, 2nd Floor, Red Bank, NJ 07701",732-671-3206,SenKyrillos@njleg.org,AMY H. HANDLIN (R),"225 Route 35, Suite 202, Red Bank, NJ 07701",732-383-7820,AsmHandlin@njleg.org,DECLAN O'SCANLON (R),"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,AsmOScanlon@njleg.org
"Monroe, Gloucester County",4,"FRED H. MADDEN, JR. (D)","129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,SenMadden@njleg.org,PAUL D. MORIARTY (D),"129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,AsmMoriarty@njleg.org,GABRIELA M. MOSQUERA (D),"129 Johnson Road, Suite 1, Turnersville, NJ 08012",856-232-6700,AsmMosquera@njleg.org
"Monroe, Middlesex County",14,LINDA R. GREENSTEIN (D),"1249 South River Rd., Suite 105, Cranbury, NJ 08512",609-395-9911,SenGreenstein@njleg.org,WAYNE P. DEANGELO (D),"4621A Nottingham Way, Hamilton, NJ 08690",609-631-7501,AsmDeAngelo@njleg.org,DANIEL R. BENSON (D),"3691A Nottingham Way, Hamilton Square, NJ 08690",609-631-0198,AsmBenson@njleg.org
Montague,24,STEVEN V. OROHO (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
Montclair,34,NIA H. GILL (D),"39 South Fullerton Avenue, 2nd Fl., Suite 7, Montclair, NJ 07042",973-509-0388,SenGill@njleg.org,SHEILA Y. OLIVER (D),"15-33 Halsted Street, Suite 202, East Orange, NJ 07018",973-395-1166,AsmOliver@njleg.org,THOMAS P. GIBLIN (D),"1333 Broad Street, Clifton, NJ 07013",973-779-3125,AsmGiblin@njleg.org
Montgomery,16,"CHRISTOPHER ""KIP"" BATEMAN (R)","36 East Main St., Somerville, NJ 08876",908-526-3600,SenBateman@njleg.org,JACK M. CIATTARELLI (R),"50 Division St., Suite 200, Somerville, NJ 08876",908-450-7064,AsmCiattarelli@njleg.org,ANDREW ZWICKER (D),"23 Orchard Road, Suite 170, Skillman, NJ 08558",609-454-3147,AsmZwicker@njleg.org
Montvale,39,GERALD CARDINALE (R),"350 Madison Ave., Cresskill, NJ 07626",201-567-2324,SenCardinale@njleg.org,ROBERT AUTH (R),"1069 Ringwood Ave., Suite 312, Haskell, NJ 07420",862-248-0491,AsmAuth@njleg.org,HOLLY SCHEPISI (R),"287 Kinderkamack Rd., Westwood, NJ 07675",201-666-0881,AsmSchepisi@njleg.org
Montville,26,JOSEPH PENNACCHIO (R),"170 Changebridge Rd., Unit A1, Montville, NJ 07045",973-227-4012,SenPennacchio@njleg.org,BETTYLOU DeCROCE (R),"1055 Parsippany Blvd., Suite 104, Parsippany, NJ 07054",973-265-0057,AsmDeCroce@njleg.org,JAY WEBBER (R),"1055 Parsippany Blvd., Suite 104, Parsippany, NJ 07054",973-265-0057,AsmWebber@njleg.org
Moonachie,36,PAUL A. SARLO (D),"496 Columbia Blvd., First Floor, Wood-Ridge, NJ 07075",201-804-8118,SenSarlo@njleg.org,MARLENE CARIDE (D),"613 Bergen Blvd., Ridgefield, NJ 07657",201-943-0615,AsmCaride@njleg.org,GARY S. SCHAER (D),"1 Howe Ave., Suite 302, Passaic, NJ 07055",973-249-3665,AsmSchaer@njleg.org
Moorestown,7,DIANE B. ALLEN (R),"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR. (D)","Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON (D),"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Morris,25,ANTHONY R. BUCCO (R),"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL (R),"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO (R),"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Morris Plains,26,JOSEPH PENNACCHIO (R),"170 Changebridge Rd., Unit A1, Montville, NJ 07045",973-227-4012,SenPennacchio@njleg.org,BETTYLOU DeCROCE (R),"1055 Parsippany Blvd., Suite 104, Parsippany, NJ 07054",973-265-0057,AsmDeCroce@njleg.org,JAY WEBBER (R),"1055 Parsippany Blvd., Suite 104, Parsippany, NJ 07054",973-265-0057,AsmWebber@njleg.org
Morristown,25,ANTHONY R. BUCCO (R),"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL (R),"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO (R),"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Mount Arlington,25,ANTHONY R. BUCCO (R),"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL (R),"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO (R),"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Mount Ephraim,5,NILSA CRUZ-PEREZ (D),"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,SenCruzPerez@njleg.org,ARTHUR BARCLAY (D),"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmBarclay@njleg.org,PATRICIA EGAN JONES (D),"Audubon Commons Center, 130 Black Horse Pike, Suite D-3, Audubon, NJ 08106",856-547-4800,AsmJones@njleg.org
Mount Holly,8,DAWN MARIE ADDIEGO (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,SenAddiego@njleg.org,JOSEPH HOWARTH (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmHowarth@njleg.org,MARIA RODRIGUEZ-GREGG (R),"176 Route 70, Suite 13, Medford, NJ 08055",609-654-1498,AsmRodriguezGregg@njleg.org
Mount Laurel,7,DIANE B. ALLEN (R),"504 Route 130 North, Suite 100, Cinnaminson, NJ 08077",856-314-8835,SenAllen@njleg.org,"HERB CONAWAY, JR. (D)","Delran Professional Center, Suite 125, 8008 Route 130 North, Delran, NJ 08075",856-461-3997,AsmConaway@njleg.org,TROY SINGLETON (D),"20000 Horizon Way, Suite 190, Mount Laurel, NJ 08054",856-234-2790,AsmSingleton@njleg.org
Mount Olive,24,STEVEN V. OROHO (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
Mountain Lakes,25,ANTHONY R. BUCCO (R),"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL (R),"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO (R),"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
Mountainside,21,"THOMAS H. KEAN, JR. (R)","57 Union Place, Suite 310, Summit, NJ 07901",908-918-0414,SenKean@njleg.org,JON M. BRAMNICK (R),"251 North Ave. West, 2nd Floor, Westfield, NJ 07090",908-232-2073,AsmBramnick@njleg.org,NANCY F. MUNOZ (R),"425 North Ave. East, Suite C, Westfield, NJ 07090",908-232-3673,AsmMunoz@njleg.org
Mullica,2,JIM WHELAN (D),"511 Tilton Road, Northfield, NJ 08225",609-383-1388,SenWhelan@njleg.org,CHRIS A. BROWN (R),"2021 New Rd., Suite 24, Linwood, NJ 08221",609-677-8266,AsmBrown@njleg.org,VINCENT MAZZEO (D),"507 Tilton Rd., Northfield, NJ 08225",609-383-1388,AsmMazzeo@njleg.org
National Park,3,STEPHEN M. SWEENEY (D),"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI (D),"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO (D),"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Neptune,11,JENNIFER BECK (R),"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,SenBeck@njleg.org,JOANN DOWNEY (D),"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmDowney@njleg.org,ERIC HOUGHTALING (D),"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmHoughtaling@njleg.org
Neptune Township,11,JENNIFER BECK (R),"32 Monmouth St., 3rd Floor, Red Bank, NJ 07701",732-933-1591,SenBeck@njleg.org,JOANN DOWNEY (D),"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmDowney@njleg.org,ERIC HOUGHTALING (D),"802 West Park Avenue, Suite 221, Ocean Twp., NJ 07712",732-695-3371,AsmHoughtaling@njleg.org
Netcong,25,ANTHONY R. BUCCO (R),"75 Bloomfield Ave., Suite 302, 3rd Floor, Denville, NJ 07834",973-627-9700,SenBucco@njleg.org,MICHAEL PATRICK CARROLL (R),"146 Speedwell Ave., Morris Plains, NJ 07950",973-539-8113,AsmCarroll@njleg.org,ANTHONY M. BUCCO (R),"1040 Route 10 West, 1st Floor, Randolph, NJ 07869",973-927-2526,AsmBucco@njleg.org
New Brunswick,17,BOB SMITH (D),"216 Stelton Rd., Suite E-5, Piscataway, NJ 08854",732-752-0770,SenBSmith@njleg.org,JOSEPH V. EGAN (D),"100 Bayard St., New Brunswick, NJ 08901",732-249-4550,AsmEgan@njleg.org,JOE DANIELSEN (D),"334 Elizabeth Ave., Somerset, NJ 08873",732-247-3999,AsmDanielsen@njleg.org
New Hanover,12,SAMUEL D. THOMPSON (R),"2501 Highway 516, Suite 101, Old Bridge, NJ 08857",732-607-7580,SenThompson@njleg.org,RONALD S. DANCER (R),"2110 W. County Line Rd., Jackson, NJ 08527",732-901-0702,AsmDancer@njleg.org,ROBERT D. CLIFTON (R),"516 Route 33 West, Bldg. 2, Suite 2, Millstone, NJ 08535",732-446-3408,AsmClifton@njleg.org
New Milford,38,ROBERT M. GORDON (D),"14-25 Plaza Rd., P.O. Box 398, Fair Lawn, NJ 07410",201-703-9779,SenGordon@njleg.org,TIMOTHY J. EUSTACE (D),"205 Robin Rd., Suite 216, Paramus, NJ 07652",201-576-9199,AsmEustace@njleg.org,JOSEPH A. LAGANA (D),"205 Robin Rd., Suite 222, Paramus, NJ 07652",201-576-9199,AsmLagana@njleg.org
New Providence,21,"THOMAS H. KEAN, JR. (R)","57 Union Place, Suite 310, Summit, NJ 07901",908-918-0414,SenKean@njleg.org,JON M. BRAMNICK (R),"251 North Ave. West, 2nd Floor, Westfield, NJ 07090",908-232-2073,AsmBramnick@njleg.org,NANCY F. MUNOZ (R),"425 North Ave. East, Suite C, Westfield, NJ 07090",908-232-3673,AsmMunoz@njleg.org
Newark,28,RONALD L. RICE (D),"1044 South Orange Ave., Newark, NJ 07106",973-371-5665,SenRice@njleg.org,RALPH R. CAPUTO (D),"148-152 Franklin St., Belleville, NJ 07109",973-450-0484,AsmCaputo@njleg.org,CLEOPATRA G. TUCKER (D),"400 Lyons Ave., Newark, NJ 07112",973-926-4320,AsmTucker@njleg.org
Newark,29,M. TERESA RUIZ (D),"166 Bloomfield Ave., Newark, NJ 07104",973-484-1000,SenRuiz@njleg.org,ELIANA PINTOR MARIN (D),"263 Lafayette St. 1st Floor, Newark, NJ 07105",973-589-0713,AsmMarin@njleg.org,BLONNIE R WATSON (D),"191 Central Avenue, Suite 220, Newark, NJ 07103",973-624-1730,AsmWatson@njleg.org
Newfield,3,STEPHEN M. SWEENEY (D),"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,SenSweeney@njleg.org,JOHN J. BURZICHELLI (D),"935 Kings Highway, Suite 400, West Deptford, NJ 08086",856-251-9801,AsmBurzichelli@njleg.org,ADAM J. TALIAFERRO (D),"199 East Broadway, 1st Floor, Suite G, Salem, NJ 08079",856-339-0808,AsmTaliaferro@njleg.org
Newton,24,STEVEN V. OROHO (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,SenOroho@njleg.org,PARKER SPACE (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmSpace@njleg.org,GAIL PHOEBUS (R),"One Wilson Drive, Suite 2B, Sparta, NJ 07871",973-300-0200,AsmPhoebus@njleg.org
North Arlington,36,PAUL A. SARLO (D),"496 Columbia Blvd., First Floor, Wood-Ridge, NJ 07075",201-804-8118,SenSarlo@njleg.org,MARLENE CARIDE (D),"613 Bergen Blvd., Ridgefield, NJ 07657",201-943-0615,AsmCaride@njleg.org,GARY S. SCHAER (D),"1 Howe Ave., Suite 302, Passaic, NJ 07055",973-249-3665,AsmSchaer@njleg.org
North Bergen,32,NICHOLAS J. SACCO (D),"9060 Palisade Ave., North Bergen, NJ 07047",201-295-0200,SenSacco@njleg.org,VINCENT PRIETO (D),"1 Harmon Plaza, Suite 205, Secaucus, NJ 07094",201-770-1303,AsmPrieto@njleg.org,ANGELICA M. JIMENEZ (D),"5600 Kennedy Blvd., Suite 104, West New York, NJ 07093",201-223-4247,AsmJimenez@njleg.org
North Brunswick,17,BOB SMITH (D),"216 Stelton Rd., Suite E-5, Piscataway, NJ 08854",732-752-0770,SenBSmith@njleg.org,JOSEPH V. EGAN (D),"100 Bayard St., New Brunswick, NJ 08901",732-249-4550,AsmEgan@njleg.org,JOE DANIELSEN (D),"334 Elizabeth Ave., Somerset, NJ 08873",732-247-3999,AsmDanielsen@njleg.org
North Caldwell,26,JOSEPH PENNACCHIO (R),"170 Changebridge Rd., Unit A1, Montville, NJ 07045",973-227-4012,SenPennacchio@njleg.org,BETTYLOU DeCROCE (R),"1055 Parsippany Blvd., Suite 104, Parsippany, NJ 07054",973-265-0057,AsmDeCroce@njleg.org,JAY WEBBER (R),"1055 Parsippany Blvd., Suite 104, Parsippany, NJ 07054",973-265-0057,AsmWebber@njleg.org
North Haledon,35,NELLIE POU (D),"100 Hamilton Plaza, Suite 1405, Paterson, NJ 07505",973-247-1555,SenPou@njleg.org,SHAVONDA E. SUMTER (D),"191 Market St., Paterson, NJ 07505",973-925-7061,AsmSumter@njleg.org,BENJIE E. WIMBERLY (D),"191 Market St., Paterson, NJ 07505",973-925-7061,AsmWimberly@njleg.org
North Hanover,12,SAMUEL D. THOMPSON (R),"2501 Highway 516, Suite 101, Old Bridge, NJ 08857",732-607-7580,SenThompson@njleg.org,RONALD S. DANCER (R),"2110 W. County Line Rd., Jackson, NJ 08527",732-901-0702,AsmDancer@njleg.org,ROBERT D. CLIFTON (R),"516 Route 33 West, Bldg. 2, Suite 2, Millstone, NJ 08535",732-446-3408,AsmClifton@njleg.org
North Plainfield,22,NICHOLAS P. SCUTARI (D),"1514 E. Saint Georges Ave., 2nd Floor, Linden, NJ 07036",908-587-0404,SenScutari@njleg.org,JERRY GREEN (D),"200 West 2nd Street, Suite 102, Plainfield, NJ 07060",908-561-5757,AsmGreen@njleg.org,JAMES J. KENNEDY (D),"34 E. Cherry St., Rahway, NJ 07065",732-943-2660,AsmKennedy@njleg.org
